Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
09-07-2020,Cr,Bgm Misc.Income,,,Receipt,2547,14220.00,
,,Being paid towards from Outside lorry RH Sales Loading charges Dtd : 03.07.2020 .711.000mts  @Rs 20/-.,,,,,,
10-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,20893,,4200.00
,,Being the Advance  amount paid towards Fl no : 40420,,,,,,
10-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,20894,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15.000 mts @ Rs.30/-,,,,,,
10-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,20895,,8340.00
10-07-2020,Dr,Bgm Godown Maintenence,,,Payment,20896,,70.00
,,Being the amount paid towards water tank for FCI godown purpose. June - 2020,,,,,,
10-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,20897,,1670.00
,,"Being LTPT Charges payable for 31.500 mts @ 180/- Doc: 212,202",,,,,,
10-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,20898,,20930.00
,,Being the FACT rake LTPT Payment 263.500mts@180/-   Doc no:  64068 - 64077,,,,,,
10-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,20899,,695.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40358,,,,,,
11-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2594,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
11-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2595,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
11-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,21053,,4860.00
,,Being the amount paid towards FACT stock  Loading - 162.000mts@30/-,,,,,,
11-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,21054,,2640.00
,,"Being the FACT rake LTPT Payment 48.000mts@180/-   Doc no:  64085,53078,53054",,,,,,
11-07-2020,Dr,Bgm Pooja Expenses,,,Payment,21055,,150.00
11-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,21056,,1476.00
,,"Being LTPT Charges payable for 35.9750 mts @ 180/- Doc: 225,232",,,,,,
11-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,21057,,4162.00
,,Being LTPT Charges payable for 22.500 mts @ 185/- Doc: 229,,,,,,
11-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,21058,,350.00
,,Being the Balance  amount paid towards Fl no : 40337,,,,,,
13-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,21326,,3600.00
,,"Being the Balance  amount paid towards Fl no : 40421,40422",,,,,,
13-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,21327,,4500.00
,,Being the Advance Amount paid towards spic tpt  FL no:  41753,,,,,,
13-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,21328,,459.00
,,Being the amount paid towards SPIC stock unloading charges - 15.300 Mts @ Rs.30/-,,,,,,
13-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,21329,,600.00
,,Being the amount paid towards GSFL stock  loading charges - 20.000 mts @ Rs.30/-,,,,,,
13-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,21330,,3090.00
,,Being the amount paid towards GSFL stock  loading charges - 10.300 mts @ Rs.30/-,,,,,,
13-07-2020,Dr,BGM FCI GH Expense,,,Payment,21331,,35000.00
,,Being the amount paid towards FCI stock Unloading - 18nos   as per details enclosed.01.07.2020,,,,,,
13-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,21332,,2833.00
,,"Being LTPT Charges payable for 41.850 mts @ 180/- Doc: 64034,64015,64050",,,,,,
13-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,21333,,27400.00
,,Being the amount paid towards FCI rice stock unloading charges 282.000mts@180/- DOC : 64055 - 64056,,,,,,
13-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,21334,,916.00
,,Being LTPT Charges payable for 16.200 mts @ 180/- Doc: 216,,,,,,
13-07-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,21335,,2640.00
,,"Being LTPT Charges payable for 48.00 mts @ 180/- Doc: 129,101,113",,,,,,
13-07-2020,Dr,Bgm Staff Welfare Expenses,,,Payment,21336,,1120.00
,,Being the amount paid towards staff welfare charges,,,,,,
13-07-2020,Dr,Bgm Vehicle Maintenence,,,Payment,21337,,415.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
13-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,21338,,875.00
,,Being the Balance  amount paid towards Fl no : 40410,,,,,,
13-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,21339,,6857.00
,,Being the Advance Amount paid towards spic tpt  FL no:  40399 - 40386,,,,,,
13-07-2020,Dr,Bgm Ashok Jarali Advance,,,Payment,21369,,20000.00
,,Being the Amount paid towards FCI Labour advance charges for 2 months approval from (Ratnakar sir mailed as on 11.07.2020),,,,,,
13-07-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,21370,,13000.00
,,Being the amount paid towards FCI CL advance salary for daughter marraiage purpose approved (Mr.Ratnakar sir mailed as on 11.07.2020),,,,,,
14-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,21492,,8800.00
,,"Being the Advance Amount paid towards spic tpt  FL no:  41755,41754",,,,,,
14-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,21493,,5900.00
,,Being the Balance  amount paid towards Fl no : 40423,,,,,,
14-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,21494,,918.00
,,Being the amount paid towards SPIC stock unloading charges - 30.600 Mts @ Rs.30/-,,,,,,
14-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,21495,,600.00
,,Being the amount paid towards GSFL stock  loading charges - 20.000 mts @ Rs.30/-,,,,,,
14-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,21496,,3330.00
,,Being the amount paid towards GSFL stock  loading charges - 111.000 mts @ Rs.30/-,,,,,,
14-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,21497,,14980.00
,,Being the amount paid towards FCI rice stock unloading charges 161.000mts@180/- DOC : 64060 - 64005,,,,,,
15-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2666,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
15-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,21771,,1200.00
,,Being the Balance  amount paid towards Fl no : 40424,,,,,,
15-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,21772,,135.00
,,Being the amount paid towards SPIC stock unloading charges - 4.500 Mts @ Rs.30/-,,,,,,
15-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,21773,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.000 mts @ Rs.30/-,,,,,,
15-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,21774,,2760.00
,,Being the amount paid towards GSFL stock  loading charges - 92.000 mts @ Rs.30/-,,,,,,
15-07-2020,Dr,Bgm Godown Maintenence,,,Payment,21775,,190.00
,,Being the amount paid towards water tank for FCI godown purpose. June - 2020,,,,,,
16-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2714,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
16-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2715,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
18-07-2020,Dr,Bgm Fact Stand Expense,,,Payment,22528,,520.00
,,Being the FACT stock rebaging charges 52 bags @ 10/-,,,,,,
18-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,22529,,990.00
,,Being the amount paid towards GSFL stock  loading charges - 33.000 mts @ Rs.30/-,,,,,,
18-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,22530,,7871.00
,,Being the amount paid towards FACT LTPT  -140.000 mts @ Rs.180/-,,,,,,
18-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,22531,,5244.00
,,Being the amount paid towards FACT LTPT  - 79.700 mts @ Rs.185/-,,,,,,
18-07-2020,Dr,Bgm Godown S&R Expenses,,,Payment,22532,,200.00
,,Being the amount paid towards FACT stock S&R expenses 5 mts @ 40/-,,,,,,
18-07-2020,Dr,Bgm Godown Maintenence,,,Payment,22533,,1168.00
,,Being the amount paid towards water tank for RH  godown purpose. July - 2020,,,,,,
18-07-2020,Dr,Bgm Pooja Expenses,,,Payment,22534,,120.00
,,Being the amount paid towards Pooja expense,,,,,,
18-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,22535,,400.00
,,Being the amount paid towards water tank for FCI GH use perpos  as on dated 18.07.2020 mailed),,,,,,
20-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,22844,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 5.000 mts @ Rs.30/-,,,,,,
20-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,22845,,1400.00
,,Being the Advance  amount paid towards Fl no : 40425,,,,,,
20-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,22846,,600.00
,,Being the amount paid towards GSFL stock  loading charges - 20.000 mts @ Rs.30/-,,,,,,
20-07-2020,Dr,Bgm Conveyence Expenses,,,Payment,22847,,200.00
,,Being the amount paid towards FCI Labour vehicle charges,,,,,,
20-07-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,22848,,200.00
,,Being amount paid t/w courier charges.,,,,,,
20-07-2020,Dr,Bgm Pooja Expenses,,,Payment,22849,,190.00
,,Being the amount paid towards Pooja expense,,,,,,
20-07-2020,Dr,Bgm Vehicle Maintenence,,,Payment,22850,,450.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
21-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2823,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
21-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,23009,,600.00
,,Being the Advance  amount paid towards Fl no : 40426,,,,,,
21-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,23010,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 5.000 mts @ Rs.30/-,,,,,,
21-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23011,,1200.00
,,Being the amount paid towards FACT stock  loading charges - 40.000 mts @ Rs.30/-,,,,,,
21-07-2020,Dr,BGM FCI GH Expense,,,Payment,23012,,13053.00
,,Being the amount paid towards FCI rice stock unloading charges 5221 Bags @ Rs.2.50,,,,,,
21-07-2020,Dr,BGM FCI GH Expense,,,Payment,23013,,13962.00
,,Being the amount paid towards FCI rice stock unloading charges 4654 Bags @ Rs.3.00,,,,,,
21-07-2020,Dr,BGM FCI GH Expense,,,Payment,23014,,12768.00
,,Being the amount paid towards FCI rice stock unloading charges 4656 Bags @ Rs.3.00,,,,,,
21-07-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,23015,,250.00
,,Being the amount paid towards STDN for office use perpos.Date:21.07.2020.,,,,,,
21-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,23016,,400.00
,,Being the amount paid towards water tank for FCI GH use perpos  as on dated 21.7.2020,,,,,,
22-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,23065,,157.00
,,Being the Advance amount paid towards FL no: 41757,,,,,,
22-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,23066,,4800.00
,,Being the Advance  amount paid towards Fl no : 40427,,,,,,
22-07-2020,Dr,BGM - Spic Gh Expenses,,,Payment,23067,,40.00
,,Being the amount paid towards SPIC stock unloading charges - 1.305 Mts @ Rs.30/-,,,,,,
22-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,23068,,535.00
,,Being the amount paid towards GSFL stock  loading charges - 17.850 mts @ Rs.30/-,,,,,,
22-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23069,,150.00
,,Being the amount paid towards FACT stock  loading charges - 5.000 mts @ Rs.30/-,,,,,,
22-07-2020,Dr,BGM FCI GH Expense,,,Payment,23070,,10503.00
,,Being the amount paid towards FCI rice stock unloading charges 3501 Bags @ Rs.3.00,,,,,,
22-07-2020,Dr,BGM FCI GH Expense,,,Payment,23071,,13263.00
,,Being the amount paid towards FCI rice stock unloading charges 4421 Bags @ Rs.3.00,,,,,,
22-07-2020,Dr,BGM FCI GH Expense,,,Payment,23072,,6612.00
,,Being the amount paid towards FCI rice stock unloading charges 2204 Bags @ Rs.3.00,,,,,,
22-07-2020,Dr,BGM FCI GH Expense,,,Payment,23073,,15378.00
,,Being the amount paid towards FCI rice stock unloading charges 6095 Bags @ Rs.2.50,,,,,,
22-07-2020,Dr,Bgm Vehicle Maintenence,,,Payment,23074,,420.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
22-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,23075,,400.00
,,Being the amount paid towards water tank for FCI GH use perpos  as on dated 22.7.2020,,,,,,
22-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,23076,,150.00
,,Being amount paid t/w labours welafare charges,,,,,,
22-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2848,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
23-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,23500,,960.00
,,Being the Advance  amount paid towards Fl no : 40428,,,,,,
23-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,23501,,240.00
,,Being the amount paid towards GSFL stock  loading charges - 8.00 mts @ Rs.30/-,,,,,,
23-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23502,,7200.00
,,Being the amount paid towards FACT stock  Unloading charges - 120.000 mts @ Rs.60/-,,,,,,
23-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23503,,6900.00
,,Being the amount paid towards FACT stock  Unloading charges - 115.000 mts @ Rs.60/-,,,,,,
23-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23504,,8375.00
,,Being the amount paid towards FACT stock  Unloading charges - 167.500 mts @ Rs.50/-,,,,,,
23-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,23505,,5500.00
,,Being the amount paid towards FACT stock  Unloading charges - 110.00 mts @ Rs.50/-,,,,,,
23-07-2020,Dr,Bgm Godown Maintenence,,,Payment,23506,,100.00
,,Being the amount paid towards water tank for godown purpose. July - 2020,,,,,,
24-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,23543,,750.00
,,Being the amount paid towards GSFL stock  loading charges - 25.00 mts @ Rs.30/-,,,,,,
24-07-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2919,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
24-07-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,2920,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
24-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2921,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
24-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,23657,,10500.00
,,Being the Advance  amount paid towards Fl no : 40429,,,,,,
24-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,23658,,8550.00
,,"Being the Advance  amount paid towards Fl no : 40432,40431,40430",,,,,,
25-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,24012,,900.00
,,Being the amount paid towards GSFL stock  loading charges - 30.00 mts @ Rs.30/-,,,,,,
25-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,24013,,2760.00
,,Being the amount paid towards FACT stock  Unloading charges - 55.200 mts @ Rs.50/-,,,,,,
25-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,24014,,250.00
,,Being amount paid t/w labours welafare charges,,,,,,
25-07-2020,Dr,Bgm Conveyence Expenses,,,Payment,24015,,200.00
,,Being the amount paid towards FCI Labour vehicle charges,,,,,,
25-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,24016,,82000.00
,,Being the amount paid towards FACT LTPT  - 674.550 mts @ Rs.180/-,,,,,,
25-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,24017,,6700.00
,,Being the amount paid towards FACT LTPT  - 115.0 mts @ Rs.180/-,,,,,,
25-07-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,24018,,855.00
,,Being the Balance amount paid towards FL no: 41755,,,,,,
27-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,24223,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.00 mts @ Rs.30/-,,,,,,
27-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,24224,,2500.00
,,Being the Advance  amount paid towards Fl no : 40433,,,,,,
27-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,24225,,3870.00
,,Being the amount paid towards FACT stock  Unloading charges - 129.00 mts @ Rs.30/-,,,,,,
27-07-2020,Dr,Bgm Fact RH Expenses,,,Payment,24226,,58480.00
,,"Being the amount paid towards FACT stock Wagons to truck- 1023.700@35/- ,Wagons to wharf - 302.000@35/-, wharf to truck - 302.00@40/-  as per details enclosed.7.7.2020 (21W)",,,,,,
27-07-2020,Cr,Bgm Misc.Income,,,Receipt,2961,3400.00,
,,Being amount Recvd from Lorry ex freight (refund),,,,,,
27-07-2020,Cr,Bgm Misc.Income,,,Receipt,2962,11260.00,
,,Being amount Recvd from Lorry ex freight 563.000 mts @ 20/- (23.07.20),,,,,,
28-07-2020,Dr,Bgm Staff Welfare Expenses,,,Payment,24284,,143.00
,,Being the amount paid towards staff welfare charges,,,,,,
28-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2970,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
28-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,24473,,6015.00
,,Being the amount paid towards FACT stock  Unloading charges - 200.500 mts @ Rs.30/-,,,,,,
28-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,24474,,20109.00
,,Being the amount paid towards FACT LTPT  - 145.050 mts @ Rs.180/-,,,,,,
29-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,24512,,2400.00
,,Being the amount paid towards FACT stock  Unloading charges - 80.00 mts @ Rs.30/-,,,,,,
30-07-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3013,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
30-07-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3014,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
30-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,24868,,360.00
,,Being the amount paid towards GSFL stock  loading charges - 12.00 mts @ Rs.30/-,,,,,,
30-07-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,24869,,1440.00
,,Being the Advance  amount paid towards Fl no : 40435,,,,,,
30-07-2020,Dr,Bgm FACT Gh Expenses,,,Payment,24870,,2250.00
,,Being the amount paid towards FACT stock  Unloading charges - 75.00 mts @ Rs.30/-,,,,,,
30-07-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,24871,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.00 mts @ Rs.30/-,,,,,,
30-07-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,24872,,250.00
,,Being amount paid t/w labours welafare charges,,,,,,
30-07-2020,Dr,Bgm Pooja Expenses,,,Payment,24873,,350.00
,,Being the amount paid towards Pooja expense,,,,,,
31-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,24928,,22120.00
,,Being the amount paid towards FACT LTPT  - 334.00 mts @ Rs.180/-,,,,,,
31-07-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,24929,,11451.00
,,Being the amount paid towards FACT LTPT  - 221.950 mts @ Rs.180/-,,,,,,
01-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25362,,7750.00
,,Being the amount paid towards FACT stock  Unloading charges - 155.000 mts @ Rs.50/- Dt.07.08.2020,,,,,,
01-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25363,,12375.00
,,Being the amount paid towards FACT stock  Unloading charges - 225.000 mts @ Rs.55/- Dt.01.08.2020,,,,,,
01-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25364,,7744.00
,,Being the amount paid towards FACT stock  Unloading charges - 140.800 mts @ Rs.55/- Dt.01.08.2020,,,,,,
01-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25365,,11038.00
,,Being the amount paid towards FACT stock  Unloading charges - 200.700 mts @ Rs.55/- Dt.01.08.2020,,,,,,
01-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,25366,,116500.00
,,Being the amount paid towards FACT LTPT  - 930.950 Mts @ Rs.180/-.,,,,,,
01-08-2020,Cr,Bgm Misc.Income,,,Receipt,3089,5940.00,
,,Being amount Recvd from outside RH Sale loading charges 297.000 mts @ Rs.20/-,,,,,,
03-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3096,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
03-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3097,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
03-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3098,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
03-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,25603,,6000.00
,,Being the Advanceamount paid towards FL no : 40437,,,,,,
03-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,25604,,540.00
,,Being the amount paid towards GSFL stock  loading charges - 18.000mts @ Rs.30/-,,,,,,
03-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25605,,2250.00
,,Being the amount paid towards FACT stock  Loading charges - 75.000mts @ Rs.30/- Dt.03.08.2020,,,,,,
03-08-2020,Dr,Bgm Fact RH Expenses,,,Payment,25606,,54996.00
,,"Being the amount paid towards FACT stock Wagons to truck- 1115.000@35/- ,Wagons to wharf - 219.950@35/-, wharf to truck - 212.950@40/-  as per details enclosed.03.08.2020  21 WAGONS",,,,,,
03-08-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,25607,,100.00
,,Being amount paid t/w courier charges.,,,,,,
03-08-2020,Dr,Bgm Godown Maintenence,,,Payment,25608,,100.00
,,Being the amount paid towards PURCHase blooms  charges for godown use purpose .,,,,,,
04-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3139,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
04-08-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,3140,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
04-08-2020,Cr,Happay Card BGM (L Subhash)-172985,,,Receipt,3141,100000.00,
,,Being the Cash Withdrawn through  Happay card (Mr. Lumani Subhash)for BGM Branch Exp,,,,,,
04-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3142,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
04-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,25827,,2610.00
,,Being the amount paid towards FACT stock  Loading charges - 87.000mts @ Rs.30/- Dt.04.08.2020,,,,,,
04-08-2020,Dr,BGM FCI GH Expense,,,Payment,25828,,10896.00
,,Being the amount paid towards FCI rice stock unloading charges 3962 Bags @ Rs.02.750 Dt.04.08.2020.,,,,,,
04-08-2020,Dr,BGM FCI GH Expense,,,Payment,25829,,10635.00
,,Being the amount paid towards FCI rice stock unloading charges 4254 Bags @ Rs.2.500 Dt.04.08.2020.,,,,,,
04-08-2020,Dr,BGM FCI GH Expense,,,Payment,25830,,16968.00
,,Being the amount paid towards FCI rice stock unloading charges 5656 Bags @ Rs.3.000 Dt.04.08.2020.,,,,,,
04-08-2020,Dr,BGM FCI GH Expense,,,Payment,25831,,8608.00
,,Being the amount paid towards FCI rice stock unloading charges 3130 Bags @ Rs.2.750 Dt.04.08.2020.,,,,,,
04-08-2020,Dr,BGM FCI GH Expense,,,Payment,25832,,10491.00
,,Being the amount paid towards FCI rice stock unloading charges 3815 Bags @ Rs.2.750 Dt.04.08.2020.,,,,,,
04-08-2020,Dr,Bgm Vehicle Maintenence,,,Payment,25833,,420.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 as per  bill enclosed,,,,,,
05-08-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,3187,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
05-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,26149,,2760.00
,,Being the amount paid towards FACT stock  Loading charges - 92.000mts @ Rs.30/- Dt.05.08.2020,,,,,,
05-08-2020,Dr,BGM FCI GH Expense,,,Payment,26150,,836121.00
,,Being the amount paid towards FCI rice stockLoading & Unloading charges for the month of July-2020.,,,,,,
05-08-2020,Dr,Bgm Godown Maintenence,,,Payment,26151,,2000.00
,,Being the amount paid towards APMC  Godown claening Charges for the month July-2000.,,,,,,
05-08-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,26152,,750.00
,,Being the BALANCE amount paid towards FL no :40422,,,,,,
05-08-2020,Cr,PF on FCI Labour Wages Belgaum,,,Receipt,3194,79465.00,
,,Being amount Recvd from pf & esi on fci labour wages for the month of may-july-2020,,,,,,
06-08-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,26263,,450.00
,,Being the amount paid towards GSFL stock  loading charges 15.000 mts @ Rs.30/-,,,,,,
06-08-2020,Dr,Bgm FACT Gh Expenses,,,Payment,26264,,1710.00
,,Being the amount paid towards FACT stock  Loading charges - 57.000mts @ Rs.30/- Dt.06.08.2020,,,,,,
06-08-2020,Dr,BGM FCI GH Expense,,,Payment,26265,,19710.00
,,Being the amount paid towards FCI rice stock unloading charges for 6570 bags @ Rs.3/-,,,,,,
06-08-2020,Dr,BGM FCI GH Expense,,,Payment,26266,,13502.00
,,Being the amount paid towards FCI rice stock unloading chargesfor 5401 bags @ Rs.2.50,,,,,,
06-08-2020,Dr,BGM FCI GH Expense,,,Payment,26267,,13874.00
,,Being the amount paid towards FCI rice stock unloading charges for 5045 bags @ Rs.2.75/-,,,,,,
06-08-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,26268,,15400.00
